source,target
information-architecture ,ux-deliverables
ux-career-development,ux-roles
ux-career-development,ux-portfolios
ux-career-development,UX-resumes
ux-roles,ux-cover-letters
ux-roles,ux-portfolios
ux-roles,UX-cover-letters
ux-roles,UX-resumes
ux-portfolios,ux-cover-letters
ux-portfolios,ux-resumes
ux-cover-letters,ux-resumes
ux-portfolio,case-studies
ux-portfolio,user-stories#:~:text=User%20stories%20are%20short%20statements,way%20to%20implement%20the%20feature.
